ID	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_num	BgRatio_num	Enrichment	Comparison	Direction
GSE8515_IL1_VS_IL6_4H_STIM_MAC_UP	7/199	200/41384	5.59E-05	0.001615765	0.001108977	CD80/IER3/RASGRP1/SPAG1/ZHX2/RHBDF2/BCL11A	7	0.035175879	0.004832786	7.278592965	E788_vs_WT	up
GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_UP	7/199	200/41384	5.59E-05	0.001615765	0.001108977	MAPKAPK3/EBNA1BP2/CDC45/HOPX/STEAP3/SCRN1/TSTD1	7	0.035175879	0.004832786	7.278592965	E788_vs_WT	up
HALLMARK_ESTROGEN_RESPONSE_EARLY	7/199	200/41384	5.59E-05	0.001615765	0.001108977	B4GALT1/RASGRP1/CCND1/SLC27A2/MYC/ABCA3/ABLIM1	7	0.035175879	0.004832786	7.278592965	E788_vs_WT	up
HALLMARK_GLYCOLYSIS	7/199	200/41384	5.59E-05	0.001615765	0.001108977	DDIT4/IER3/GNPDA1/B4GALT1/PLOD2/GFUS/AKR1A1	7	0.035175879	0.004832786	7.278592965	E788_vs_WT	up
HP_SPECIFIC_LEARNING_DISABILITY	8/199	272/41384	5.64E-05	0.001624397	0.001114901	PIEZO2/PTDSS1/KCNJ2/WIPF1/CDC45/GNPTAB/PRNP/TERT	8	0.040201005	0.006572588	6.116464676	E788_vs_WT	up
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL	8/199	272/41384	5.64E-05	0.001624397	0.001114901	SOCS3/APOL4/COL15A1/MYC/WARS1/SOCS2/PLPP3/BMP6	8	0.040201005	0.006572588	6.116464676	E788_vs_WT	up
HP_ABNORMAL_VENOUS_MORPHOLOGY	6/199	138/41384	5.82E-05	0.001672821	0.001148137	PTDSS1/CWC27/SPAG1/PYCR1/DNAAF3/PROS1	6	0.030150754	0.003334622	9.041730391	E788_vs_WT	up
PMBL_gt_GCB_SigDB_Staudt	9/199	353/41384	5.86E-05	0.001680311	0.001153278	CCL17/CD274/CD80/CACNA1D/CCND1/SLAMF1/APOL1/FCER2/GYPC	9	0.045226131	0.008529867	5.302091193	E788_vs_WT	up
GOBP_TRANSITION_METAL_ION_HOMEOSTASIS	6/199	139/41384	6.05E-05	0.001726284	0.001184831	MYC/PRKN/STEAP3/PRNP/BMP6/STEAP1	6	0.030150754	0.003358786	8.976681971	E788_vs_WT	up
NFE2_01	8/199	275/41384	6.09E-05	0.001731689	0.001188541	EEF1A2/ICAM2/COL15A1/SEPTIN9/CAPN6/TEX19/ASS1/SCRN1	8	0.040201005	0.00664508	6.049739607	E788_vs_WT	up
HAMAI_APOPTOSIS_VIA_TRAIL_DN	7/199	203/41384	6.14E-05	0.001739403	0.001193835	SSTR2/SLCO4A1/MRPL2/PYCR1/STEAP3/TERT/SLC5A6	7	0.035175879	0.004905277	7.171027552	E788_vs_WT	up
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	7/199	203/41384	6.14E-05	0.001739403	0.001193835	ICAM2/SLCO4A1/EBNA1BP2/CCND2/FERMT2/PLPP3/NOLC1	7	0.035175879	0.004905277	7.171027552	E788_vs_WT	up
HP_FEVER	9/199	356/41384	6.26E-05	0.001770134	0.001214928	SH2B3/PTPRO/CCND1/IL2RA/WIPF1/APOL1/IRF8/PRNP/GYPC	9	0.045226131	0.008602358	5.257410649	E788_vs_WT	up
GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNG_KO_DN	6/199	140/41384	6.30E-05	0.001779647	0.001221457	SLC35F3/FAP/OSM/IRF8/TBL3/BOP1	6	0.030150754	0.00338295	8.912562814	E788_vs_WT	up
RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_UP	7/199	204/41384	6.33E-05	0.001784338	0.001224676	ALOX5AP/OSBPL1A/KHDRBS3/ADAM19/CCND2/B3GNTL1/ABCA3	7	0.035175879	0.004929441	7.135875456	E788_vs_WT	up
GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION	9/199	359/41384	6.67E-05	0.001873803	0.00128608	PPID/MTTP/CCL5/GNPTAB/PRKN/STEAP3/RHBDF2/SLC9B2/BMP6	9	0.045226131	0.00867485	5.213476855	E788_vs_WT	up
PROVENZANI_METASTASIS_DN	6/199	142/41384	6.82E-05	0.001911694	0.001312087	TRIB2/FAM171A1/CCND1/CCND2/NSMF/SCRN1	6	0.030150754	0.003431278	8.78703376	E788_vs_WT	up
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	10/199	448/41384	6.94E-05	0.001941926	0.001332836	CD274/CD80/B4GALT1/SLAMF1/IL2RA/TGFBR3/TRDC/HHLA2/PRNP/FCER2	10	0.050251256	0.01082544	4.641959799	E788_vs_WT	up
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	8/199	281/41384	7.08E-05	0.001973154	0.00135427	TNS1/PTPRO/CCND1/TRDC/RRAS2/HOPX/ASS1/PLPP3	8	0.040201005	0.006790064	5.920563672	E788_vs_WT	up
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	6/199	144/41384	7.37E-05	0.002029599	0.001393011	CD274/CD80/IL2RA/ASS1/PRNP/TNFRSF21	6	0.030150754	0.003479606	8.664991625	E788_vs_WT	up
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14	6/199	144/41384	7.37E-05	0.002029599	0.001393011	PTP4A3/CARM1/EBNA1BP2/TMEM147/FKBP11/VARS1	6	0.030150754	0.003479606	8.664991625	E788_vs_WT	up
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE	9/199	364/41384	7.41E-05	0.002038406	0.001399056	SOCS3/GJB2/AHCYL1/MYC/MZB1/PTPRA/ASS1/PRNP/SOCS2	9	0.045226131	0.00879567	5.141863162	E788_vs_WT	up
MIR12128	6/199	145/41384	7.65E-05	0.002101474	0.001442342	LTA/ZC3H7B/WIPF1/TMEM9/PRNP/GYPC	6	0.030150754	0.00350377	8.605233062	E788_vs_WT	up
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	10/199	454/41384	7.74E-05	0.002121683	0.001456213	RIOX2/EBNA1BP2/NPM3/MTERF3/RRP1B/XRCC5/RPL6/NOLC1/TBL3/BOP1	10	0.050251256	0.010970423	4.580612313	E788_vs_WT	up
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	9/199	367/41384	7.89E-05	0.002143433	0.001471141	PTP4A3/IER3/PTPRO/MTERF3/ENTR1/GFUS/TAF4B/BOP1/VARS1	9	0.045226131	0.008868162	5.099831583	E788_vs_WT	up
TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL	6/199	146/41384	7.95E-05	0.002156558	0.001480149	SOCS3/LONRF2/KHDRBS3/B4GALT1/MYC/PROS1	6	0.030150754	0.003527934	8.546293109	E788_vs_WT	up
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	8/199	286/41384	8.00E-05	0.002165719	0.001486437	OSBPL1A/MTTP/CHRNA6/MYC/STARD5/PRKN/ABCA3/BMP6	8	0.040201005	0.006910883	5.817057315	E788_vs_WT	up
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	5/199	91/41384	8.13E-05	0.002190234	0.001503262	CD274/CD80/IL2RA/PRNP/TNFRSF21	5	0.025125628	0.002198917	11.42636258	E788_vs_WT	up
IL4_activated_human_blood_B_cells_2_SigDB_Staudt	5/199	91/41384	8.13E-05	0.002190234	0.001503262	CCL5/IL2RA/SPAG1/IRF8/FCER2	5	0.025125628	0.002198917	11.42636258	E788_vs_WT	up
LU_IL4_SIGNALING	5/199	91/41384	8.13E-05	0.002190234	0.001503262	CCL5/IL2RA/SPAG1/IRF8/FCER2	5	0.025125628	0.002198917	11.42636258	E788_vs_WT	up
HP_ABNORMALITY_OF_THE_LYMPH_NODES	7/199	213/41384	8.29E-05	0.002230593	0.001530962	EIF2AK4/RASGRP1/CCND1/IL2RA/MYC/IRF8/TERT	7	0.035175879	0.005146917	6.834359591	E788_vs_WT	up
FAN_OVARY_CL13_MONOCYTE_MACROPHAGE	10/199	458/41384	8.32E-05	0.002233666	0.001533072	TMEM273/ALOX5AP/IER3/B4GALT1/CLIC2/FNIP2/PRDX1/WIPF1/HMGA1/WARS1	10	0.050251256	0.011067079	4.540606965	E788_vs_WT	up
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	9/199	371/41384	8.56E-05	0.002277759	0.001563335	ALOX5AP/DDIT4/IER3/CCND1/ATP8B4/GNB4/IRF8/RHBDF2/GYPC	9	0.045226131	0.008964817	5.044846876	E788_vs_WT	up
HAY_BONE_MARROW_NK_CELLS	9/199	371/41384	8.56E-05	0.002277759	0.001563335	NCALD/TLE1/DDIT4/TGFBR3/WIPF1/TRDC/GNPTAB/PTPRA/HOPX	9	0.045226131	0.008964817	5.044846876	E788_vs_WT	up
RYAN_MANTLE_CELL_LYMPHOMA_NOTCH_DIRECT_UP	6/199	148/41384	8.57E-05	0.002277759	0.001563335	PTP4A3/B4GALT1/MYC/IRF8/RHOV/TRAM2	6	0.030150754	0.003576261	8.430802662	E788_vs_WT	up
GENTILE_UV_HIGH_DOSE_DN	8/199	289/41384	8.60E-05	0.00228107	0.001565607	TRIB2/TLE1/DDIT4/RAPGEF2/RRAS2/FERMT2/BMI1/PLPP3	8	0.040201005	0.006983375	5.756672637	E788_vs_WT	up
Resting_dendritic_cell_GNF_SigDB_Staudt	5/199	93/41384	9.02E-05	0.002384508	0.001636602	SLC35F3/ALOX5AP/MZB1/IRF8/TNFRSF21	5	0.025125628	0.002247245	11.18063435	E788_vs_WT	up
Notch_CLL_up_all_Fabbri_SigDB_Staudt	8/199	291/41384	9.02E-05	0.002384508	0.001636602	EIF2AK4/NCALD/PTP4A3/CD80/ADAM19/ZHX2/BCAT1/IRF8	8	0.040201005	0.007031703	5.717107876	E788_vs_WT	up
KIM_WT1_TARGETS_12HR_DN	7/199	217/41384	9.31E-05	0.002458749	0.001687557	CCND1/PLOD2/RIOX2/MYC/WASL/NOLC1/STEAP1	7	0.035175879	0.005243572	6.708380613	E788_vs_WT	up
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	10/199	466/41384	9.59E-05	0.002526768	0.001734242	SOCS3/FAM171A1/SH2B3/EXTL2/WIPF1/AKAP12/BCAT1/PRNP/TRAM2/PROS1	10	0.050251256	0.01126039	4.462656631	E788_vs_WT	up
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS	8/199	294/41384	9.68E-05	0.002546737	0.001747947	SOCS3/GJB2/AHCYL1/MYC/MZB1/PTPRA/ASS1/SOCS2	8	0.040201005	0.007104195	5.658770041	E788_vs_WT	up
AIZARANI_LIVER_C20_LSECS_3	8/199	295/41384	9.91E-05	0.00260275	0.001786392	SOCS3/PIEZO2/SLCO4A1/TGFBR3/AKAP12/WARS1/PLPP3/NOLC1	8	0.040201005	0.007128359	5.639587769	E788_vs_WT	up
BCR_NFkB_cytokine_Node5356_SigDB_Staudt	5/199	95/41384	9.97E-05	0.002610925	0.001792003	SSTR2/SOCS3/CD80/RASGRP1/MYC	5	0.025125628	0.002295573	10.94525258	E788_vs_WT	up
HAY_BONE_MARROW_EARLY_ERYTHROBLAST	5/199	95/41384	9.97E-05	0.002610925	0.001792003	EXTL2/SLC27A2/MYC/NPM3/SRM	5	0.025125628	0.002295573	10.94525258	E788_vs_WT	up
GOBP_LIPID_LOCALIZATION	10/199	469/41384	1.01E-04	0.002631945	0.00180643	APOL4/OSBPL1A/MTTP/ATP8B4/SLC27A2/APOL1/STARD5/PRKN/ABCA3/BMP6	10	0.050251256	0.011332882	4.434110853	E788_vs_WT	up
ENK_UV_RESPONSE_EPIDERMIS_UP	8/199	296/41384	1.01E-04	0.002637806	0.001810453	EBNA1BP2/SEPTIN9/RRAS2/CMAHP/WARS1/BCL11A/SLC5A6/SRM	8	0.040201005	0.007152523	5.620535108	E788_vs_WT	up
MUELLER_PLURINET	8/199	299/41384	1.09E-04	0.002822802	0.001937424	PPID/CCND1/MYC/CDC45/HMGA1/PRNP/XRCC5/NOLC1	8	0.040201005	0.007225014	5.564141779	E788_vs_WT	up
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	9/199	383/41384	0.000108913	0.002823135	0.001937653	SOCS3/TRIB2/SH2B3/DDIT4/PTPRO/WARS1/PRKN/PRNP/PLPP3	9	0.045226131	0.009254784	4.886783788	E788_vs_WT	up
MODULE_128	5/199	97/41384	1.10E-04	0.002836565	0.00194687	FAP/CCL5/IER3/CCND2/PLPP3	5	0.025125628	0.002343901	10.71957727	E788_vs_WT	up
NAKAMURA_ADIPOGENESIS_LATE_UP	5/199	97/41384	1.10E-04	0.002836565	0.00194687	TGFBR3/MYC/S1PR3/PTPRA/TNFRSF21	5	0.025125628	0.002343901	10.71957727	E788_vs_WT	up
GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	7/199	223/41384	1.10E-04	0.002836565	0.00194687	CCL17/CCL5/RASGRP1/SLAMF1/AKAP12/RAPGEF2/FERMT2	7	0.035175879	0.005388556	6.527886067	E788_vs_WT	up
BIDUS_METASTASIS_DN	6/199	155/41384	1.11E-04	0.002836565	0.00194687	PTP4A3/HEMK1/ATP8B4/DTWD1/SLC39A3/GYPC	6	0.030150754	0.003745409	8.050056735	E788_vs_WT	up
LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES	6/199	155/41384	1.11E-04	0.002836565	0.00194687	SLIT3/TNS1/AKAP12/CACNB2/RAPGEF2/KALRN	6	0.030150754	0.003745409	8.050056735	E788_vs_WT	up
TRAVAGLINI_LUNG_B_CELL	6/199	155/41384	1.11E-04	0.002836565	0.00194687	TLE1/ADAM19/RRAS2/IRF8/BCL11A/FCER2	6	0.030150754	0.003745409	8.050056735	E788_vs_WT	up
WANG_SMARCE1_TARGETS_DN	9/199	385/41384	1.13E-04	0.002902195	0.001991916	SLCO4A1/SEPTIN9/MTERF3/HMGA1/RRAS2/STEAP3/TNFRSF21/SRM/TSTD1	9	0.045226131	0.009303112	4.861397899	E788_vs_WT	up
VANTVEER_BREAST_CANCER_ESR1_DN	7/199	224/41384	1.13E-04	0.002902195	0.001991916	FAM171A1/CCL5/WARS1/ASS1/STEAP3/BCL11A/TNFRSF21	7	0.035175879	0.00541272	6.498743719	E788_vs_WT	up
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	10/199	476/41384	1.14E-04	0.002911842	0.001998536	LTA/CD274/IL9/OSM/CD80/RASGRP1/SLAMF1/AKAP12/HHLA2/IRF8	10	0.050251256	0.01150203	4.36890334	E788_vs_WT	up
GOMF_INTEGRIN_BINDING	6/199	156/41384	1.14E-04	0.002919334	0.002003679	FAP/ICAM2/S1PR3/FERMT2/PLPP3/FCER2	6	0.030150754	0.003769573	7.998453807	E788_vs_WT	up
ZHENG_CORD_BLOOD_C1_PUTATIVE_MEGAKARYOCYTE_PROGENITOR	5/199	98/41384	1.16E-04	0.00294172	0.002019043	CCL5/CCND1/TESC/KALRN/PROS1	5	0.025125628	0.002368065	10.61019383	E788_vs_WT	up
ZNF394_TARGET_GENES	9/199	387/41384	1.18E-04	0.002988532	0.002051173	MTTP/HEMK1/AHCYL1/DTWD1/SLC39A3/MRPS34/B3GNTL1/TMC6/DNAAF3	9	0.045226131	0.00935144	4.836274395	E788_vs_WT	up
DESCARTES_FETAL_LUNG_LYMPHOID_CELLS	6/199	157/41384	1.19E-04	0.00300388	0.002061707	LTA/RASGRP1/SLAMF1/IL2RA/MZB1/TRDC	6	0.030150754	0.003793737	7.947508242	E788_vs_WT	up
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2	8/199	303/41384	1.19E-04	0.003013221	0.002068117	TRIB2/ADGRD1/TNS1/S1PR3/AKAP12/FERMT2/TESC/TNFRSF21	8	0.040201005	0.00732167	5.490687762	E788_vs_WT	up
MODULE_121	5/199	99/41384	1.21E-04	0.003056571	0.002097871	OSM/SLAMF1/MYC/PRDX1/BCAT1	5	0.025125628	0.002392229	10.50302015	E788_vs_WT	up
MODULE_79	5/199	99/41384	1.21E-04	0.003056571	0.002097871	FAP/CCL5/IER3/CCND2/PLPP3	5	0.025125628	0.002392229	10.50302015	E788_vs_WT	up
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	6/199	158/41384	1.23E-04	0.003090226	0.00212097	CD274/CD80/CCL5/SLAMF1/IL2RA/HHLA2	6	0.030150754	0.003817901	7.897207557	E788_vs_WT	up
GOMF_LIPID_TRANSPORTER_ACTIVITY	6/199	159/41384	1.27E-04	0.00317955	0.002182277	OSBPL1A/MTTP/ATP8B4/SLC27A2/STARD5/ABCA3	6	0.030150754	0.003842065	7.847539585	E788_vs_WT	up
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	6/199	159/41384	1.27E-04	0.00317955	0.002182277	SOCS3/EEF1A2/PTP4A3/SLCO4A1/RASGRP1/TNFRSF21	6	0.030150754	0.003842065	7.847539585	E788_vs_WT	up
MODULE_170	5/199	100/41384	1.27E-04	0.00317955	0.002182277	FAP/CCL5/IER3/CCND2/PLPP3	5	0.025125628	0.002416393	10.39798995	E788_vs_WT	up
GSE40274_CTRL_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	6/199	160/41384	1.31E-04	0.003273576	0.002246812	PIEZO2/SLC25A39/SLC9B2/SLC5A6/SRM/STEAP1	6	0.030150754	0.003866228	7.798492462	E788_vs_WT	up
GSE4590_PRE_BCELL_VS_LARGE_PRE_BCELL_UP	6/199	160/41384	1.31E-04	0.003273576	0.002246812	FAP/CCL5/RASGRP1/PLOD2/GNB4/ZHX2	6	0.030150754	0.003866228	7.798492462	E788_vs_WT	up
IL4_activated_human_CLL_cells_SigDB_Staudt	6/199	160/41384	1.31E-04	0.003273576	0.002246812	CCL17/EIF2AK4/HEMK1/IL2RA/CDC45/SPAG1	6	0.030150754	0.003866228	7.798492462	E788_vs_WT	up
MODULE_98	9/199	393/41384	1.32E-04	0.00328501	0.00225466	TLE1/KHDRBS3/MAPKAPK3/MYC/CDC45/CCND2/BMI1/NPAS1/XRCC5	9	0.045226131	0.009496424	4.762438145	E788_vs_WT	up
GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10/199	485/41384	1.33E-04	0.003293653	0.002260591	PIEZO2/GJB2/CHRNA6/CACNA1D/CLIC2/KCNJ2/APOL1/CACNB2/TMC6/STEAP1	10	0.050251256	0.011719505	4.287830907	E788_vs_WT	up
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT	5/199	101/41384	1.33E-04	0.003300765	0.002265473	EIF2AK4/CCL5/APOL1/RRP1B/PRKN	5	0.025125628	0.002440557	10.29503955	E788_vs_WT	up
BENPORATH_MYC_TARGETS_WITH_EBOX	7/199	230/41384	1.34E-04	0.00330463	0.002268126	EEF1A2/PPID/CCND1/CCND2/AKR1A1/TERT/SRM	7	0.035175879	0.005557703	6.329211274	E788_vs_WT	up
IRF4_ABC_induced_ABCDLBCL_SigDB_Staudt	6/199	161/41384	1.36E-04	0.003344574	0.002295541	ZBTB32/TLE1/SLC4A5/CCND2/TRAM2/FKBP11	6	0.030150754	0.003890392	7.750054621	E788_vs_WT	up
MULLIGHAN_NPM1_SIGNATURE_3_DN	6/199	161/41384	1.36E-04	0.003344574	0.002295541	SOCS3/FAM171A1/CARM1/BCAT1/FCER2/SCRN1	6	0.030150754	0.003890392	7.750054621	E788_vs_WT	up
VERHAAK_GLIOBLASTOMA_CLASSICAL	6/199	161/41384	1.36E-04	0.003344574	0.002295541	TRIB2/RASGRP1/ADAM19/PTPRA/TMEM147/SOCS2	6	0.030150754	0.003890392	7.750054621	E788_vs_WT	up
GSE13547_WT_VS_ZFX_KO_BCELL_UP	6/199	162/41384	1.41E-04	0.003448712	0.002367016	CCL5/IER3/PLOD2/CCND2/SRGAP3/RHEBL1	6	0.030150754	0.003914556	7.702214778	E788_vs_WT	up
HP_ABNORMALITY_OF_THE_FONTANELLES_OR_CRANIAL_SUTURES	9/199	398/41384	1.45E-04	0.00355152	0.002437578	PIEZO2/PTDSS1/PLOD2/CWC27/CDC45/GNPTAB/PYCR1/ETFDH/VARS1	9	0.045226131	0.009617243	4.70260852	E788_vs_WT	up
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	6/199	163/41384	1.46E-04	0.00355152	0.002437578	CCL5/IL2RA/GNPTAB/HOPX/RHBDF2/PROS1	6	0.030150754	0.00393872	7.654961926	E788_vs_WT	up
GOMF_CYTOKINE_ACTIVITY	7/199	234/41384	1.49E-04	0.00360149	0.002471875	LTA/CCL17/IL31/IL9/OSM/CCL5/BMP6	7	0.035175879	0.005654359	6.221019628	E788_vs_WT	up
MIR26A_5P	10/199	492/41384	1.49E-04	0.00360149	0.002471875	TRIB2/MTTP/LSM11/PLOD2/KCNJ2/CACNB2/ADAM19/CCND2/HMGA1/CHAC1	10	0.050251256	0.011888653	4.226825183	E788_vs_WT	up
MIR26B_5P	10/199	492/41384	1.49E-04	0.00360149	0.002471875	TRIB2/MTTP/LSM11/PLOD2/KCNJ2/CACNB2/ADAM19/CCND2/HMGA1/CHAC1	10	0.050251256	0.011888653	4.226825183	E788_vs_WT	up
scGC_cluster1_LZ_SigDB_Staudt	10/199	492/41384	1.49E-04	0.00360149	0.002471875	ALOX5AP/WIPF1/RRAS2/HOPX/AKR1A1/SLC25A39/BCL11A/FCER2/GYPC/TMC6	10	0.050251256	0.011888653	4.226825183	E788_vs_WT	up
AMIT_EGF_RESPONSE_480_HELA	6/199	164/41384	1.50E-04	0.003619587	0.002484296	B4GALT1/CCND1/SEPTIN9/HMGA1/PLPP3/TNFRSF21	6	0.030150754	0.003962884	7.608285329	E788_vs_WT	up
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	6/199	164/41384	1.50E-04	0.003619587	0.002484296	SOCS3/DDIT4/LRG1/TRIM10/CCND2/MTHFD1L	6	0.030150754	0.003962884	7.608285329	E788_vs_WT	up
GSE3565_DUSP1_VS_WT_SPLENOCYTES_POST_LPS_INJECTION_UP	6/199	164/41384	1.50E-04	0.003619587	0.002484296	SOCS3/MYC/TTLL12/ADAM19/SRM/ABLIM1	6	0.030150754	0.003962884	7.608285329	E788_vs_WT	up
MEISSNER_NPC_HCP_WITH_H3K4ME2	10/199	493/41384	1.51E-04	0.003638606	0.00249735	SLC35F3/SLIT3/PM20D2/RASGRP1/SLC27A2/HMGA1/IRF8/BCL11A/TERT/GNAL	10	0.050251256	0.011912817	4.218251501	E788_vs_WT	up
GOBP_RESPONSE_TO_PEPTIDE	10/199	494/41384	1.54E-04	0.003692874	0.002534596	SOCS3/GJB2/AHCYL1/TGFBR3/MYC/MZB1/PTPRA/ASS1/PRNP/SOCS2	10	0.050251256	0.01193698	4.20971253	E788_vs_WT	up
MAML1_TARGET_GENES	8/199	315/41384	1.55E-04	0.003712976	0.002548393	ICAM2/CACNA1D/SLC4A5/SEPTIN9/MZB1/IRF8/RHBDF2/FCER2	8	0.040201005	0.007611637	5.281518705	E788_vs_WT	up
GAUTAM_EYE_CORNEA_FIBROBLASTS	6/199	165/41384	1.55E-04	0.003712976	0.002548393	TNS1/PLOD2/WIPF1/AKAP12/FERMT2/FKBP11	6	0.030150754	0.003987048	7.562174509	E788_vs_WT	up
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN	6/199	165/41384	1.55E-04	0.003712976	0.002548393	CWC27/RAPGEF2/CMAHP/ABCA3/PROS1/PLXNA1	6	0.030150754	0.003987048	7.562174509	E788_vs_WT	up
HP_ABNORMAL_TRACHEOBRONCHIAL_MORPHOLOGY	8/199	316/41384	1.59E-04	0.003761577	0.00258175	RASGRP1/SPAG1/GNPTAB/PRKN/IRF8/ABCA3/TERT/DNAAF3	8	0.040201005	0.007635801	5.264805038	E788_vs_WT	up
LEE_RECENT_THYMIC_EMIGRANT	7/199	237/41384	1.61E-04	0.003796711	0.002605865	SOCS3/PM20D2/FNIP2/GNB4/MTHFD1L/BCL11A/TAF4B	7	0.035175879	0.005726851	6.142272544	E788_vs_WT	up
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING	6/199	166/41384	1.61E-04	0.003796711	0.002605865	FAP/SH2B3/STK24/FERMT2/PLPP3/PROS1	6	0.030150754	0.004011212	7.516619241	E788_vs_WT	up
GOBP_RESPONSE_TO_PEPTIDE_HORMONE	9/199	404/41384	1.62E-04	0.003830598	0.002629123	SOCS3/GJB2/AHCYL1/TGFBR3/MYC/MZB1/PTPRA/ASS1/SOCS2	9	0.045226131	0.009762227	4.632767799	E788_vs_WT	up
RODWELL_AGING_KIDNEY_UP	10/199	500/41384	1.70E-04	0.003984519	0.002734766	SOCS3/COL15A1/CCL5/GNB4/CCND2/MTHFD1L/TESC/IRF8/TMC6/VARS1	10	0.050251256	0.012081964	4.15919598	E788_vs_WT	up
ESC_J1_UP_LATE.V1_DN	6/199	168/41384	1.71E-04	0.004009748	0.002752082	SOCS3/SLC27A2/MYC/PRKN/SOCS2/XRCC5	6	0.030150754	0.00405954	7.427135678	E788_vs_WT	up
GOMF_LIGASE_ACTIVITY	6/199	168/41384	1.71E-04	0.004009748	0.002752082	SLC27A2/TTLL12/MTHFD1L/WARS1/ASS1/VARS1	6	0.030150754	0.00405954	7.427135678	E788_vs_WT	up
SASAKI_ADULT_T_CELL_LEUKEMIA	6/199	168/41384	1.71E-04	0.004009748	0.002752082	SSTR2/TRIB2/PPID/IL2RA/EXTL2/PRDX1	6	0.030150754	0.00405954	7.427135678	E788_vs_WT	up
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	9/199	409/41384	1.78E-04	0.004153349	0.002850642	SSTR2/OSM/CD80/IER3/B4GALT1/RAPGEF2/IRF8/PLPP3/BCL11A	9	0.045226131	0.009883047	4.576132496	E788_vs_WT	up
HP_LYMPHOMA	5/199	108/41384	1.82E-04	0.004218238	0.002895178	RASGRP1/CCND1/MYC/WIPF1/TERT	5	0.025125628	0.002609704	9.627768472	E788_vs_WT	up
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	7/199	242/41384	1.83E-04	0.004218238	0.002895178	SOCS3/EEF1A2/SLCO4A1/WARS1/DTWD1/TNFRSF21/PROS1	7	0.035175879	0.005847671	6.015366087	E788_vs_WT	up
DESCARTES_FETAL_EYE_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL_CELLS	7/199	243/41384	1.87E-04	0.004319592	0.002964743	GJB2/IER3/GFUS/HOPX/ASS1/RHOV/TSTD1	7	0.035175879	0.005871835	5.990611494	E788_vs_WT	up
SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN	8/199	324/41384	1.88E-04	0.004333518	0.002974301	PTP4A3/KHDRBS3/PLOD2/CAPN6/WARS1/BCL11A/TNFRSF21/PDE9A	8	0.040201005	0.007829113	5.134809852	E788_vs_WT	up
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN	6/199	171/41384	1.89E-04	0.004336189	0.002976134	TRIB2/MYC/RRAS2/MTHFD1L/SRM/ABLIM1	6	0.030150754	0.004132032	7.296835052	E788_vs_WT	up
